price,sqm,rooms,age,balcony,lift,parking
2250000,190,3.5,11,true,true,true
460000,110,4.5,11,true,true,false
430000,64,2.5,1,true,true,true
620000,98,3.5,1,true,true,true
435000,65,3.5,1,true,true,true
850000,132,4.5,1,true,true,true
920000,135,4.5,1,true,true,true
715000,86,3.5,14,true,false,true
1350000,190,7.0,24,true,false,true
3100000,177,4.5,3,false,false,false
2790000,182,4.5,0,true,true,false
740000,78,3.5,1,false,true,false
460000,100,4.5,34,true,true,false
580000,95,3.0,22,true,true,false
780000,145,5.5,1,true,true,true
896400,166,4.5,1,true,true,true
930800,179,5.5,1,true,true,true
575000,106,3.5,1,true,true,true
847000,154,4.5,1,true,true,true
719000,95,3.5,10,true,true,true
1450000,109,3.5,4,false,false,false
1930000,141,4.5,4,false,false,false
2395000,198,7.5,32,true,true,false
430000,67,2.5,0,true,true,true
1230000,160,5.5,0,true,true,true
980000,137,5.5,13,true,true,false
820000,136,4.5,10,true,true,true
840000,89,3.5,0,true,true,false
1320000,141,4.5,0,true,true,false
1690000,181,5.5,0,true,true,false
680000,140,5.0,33,true,true,true
550000,145,5.5,0,true,true,true
550000,145,5.5,0,true,true,true
430000,110,3.5,0,true,true,true
430000,110,3.5,0,true,true,true
680000,145,5.5,0,true,true,true
680000,145,5.5,0,true,true,true
550000,145,5.5,0,true,true,true
550000,145,5.5,0,true,true,true
430000,110,3.5,0,true,true,true
430000,110,3.5,0,true,true,true
680000,145,5.5,0,true,true,true
680000,145,5.5,0,true,true,true
495000,110,3.5,0,true,true,true
495000,110,3.5,0,true,true,true
520000,100,4.0,1,false,false,false
520000,100,4.0,1,false,false,false
710000,125,4.5,24,true,true,false
780000,126,4.5,2,true,true,false
499000,80,3.5,48,true,true,false
499000,80,3.5,48,true,true,false
360000,75,2.5,1,false,false,false
620000,110,3.5,1,false,false,false
630000,110,3.5,1,false,false,false
490000,92,2.5,1,false,false,false
540000,101,3.5,1,false,false,false
560000,101,3.5,1,false,false,false
580000,101,3.5,1,false,false,false
360000,75,2.5,1,false,false,false
540000,101,3.5,1,false,false,false
695000,118,4.5,0,false,false,false
660000,105,4.5,6,false,false,false
660000,105,4.5,6,false,false,false
790000,110,4.5,31,true,true,false
950000,132,5.5,1,false,false,true
829000,172,4.5,0,true,true,true
740000,78,3.5,1,false,true,false
250000,76,2.5,66,true,false,false
580000,95,3.0,22,true,true,false
1495000,166,5.5,0,true,false,false
1500000,157,5.5,0,true,true,true
660000,95,3.0,21,true,true,true
660000,95,3.0,21,true,true,true
255000,73,3.5,37,true,false,false
2395000,200,5.5,233,true,true,false
1070000,174,5.5,1,true,true,false
695000,138,4.5,11,true,false,false
2395000,200,5.5,233,true,true,false
595000,74,4.5,56,true,true,false
1300000,130,4.5,6,true,true,true
695000,145,5.5,10,true,true,false
490000,120,4.5,30,true,false,false
890000,123,5.5,1,true,true,true
1340000,100,3.0,13,true,true,true
1370000,143,5.5,1,true,true,false
305000,59,2.5,5,false,false,false
627500,85,3.5,7,true,true,false
850000,65,3.0,138,false,false,false
980000,144,5.5,27,false,false,false
368000,65,3.5,45,true,false,false
3800000,245,5.5,1,true,true,true
3800000,245,5.5,1,true,true,true
625000,141,4.5,2,true,false,true
